layer,county_fips,county_name,h3,black_alone_apportioned,black_alone_delta,black_alone_point,dem_votes_apportioned,dem_votes_delta,dem_votes_point,hispanic_or_latino_apportioned,hispanic_or_latino_delta,hispanic_or_latino_point,non_hispanic_white_alone_apportioned,non_hispanic_white_alone_delta,non_hispanic_white_alone_point,rep_votes_apportioned,rep_votes_delta,rep_votes_point,total_population_apportioned,total_population_delta,total_population_point,total_votes_apportioned,total_votes_delta,total_votes_point,voting_age_population_apportioned,voting_age_population_delta,voting_age_population_point,white_alone_apportioned,white_alone_delta,white_alone_point
precincts,001,Alamance,872a8ba91ffffff,,,,388.940242,388.940242,0.0,,,,,,,537.27195,537.27195,0.0,,,,926.212192,926.212192,0.0,,,,,,
precincts,001,Alamance,872a8ba92ffffff,,,,243.344559,243.344559,0.0,,,,,,,360.727161,360.727161,0.0,,,,604.071721,604.071721,0.0,,,,,,
precincts,001,Alamance,872a8ba93ffffff,,,,408.201868,-1074.798132,1483.0,,,,,,,572.254374,-1505.745626,2078.0,,,,980.456242,-2580.543758,3561.0,,,,,,
precincts,001,Alamance,872a8ba94ffffff,,,,990.073935,-6.926065,997.0,,,,,,,610.039138,50.039138,560.0,,,,1600.113074,43.113074,1557.0,,,,,,
precincts,001,Alamance,872a8ba95ffffff,,,,436.608176,436.608176,0.0,,,,,,,510.579378,510.579378,0.0,,,,947.187554,947.187554,0.0,,,,,,
precincts,001,Alamance,872a8ba96ffffff,,,,1046.454483,115.454483,931.0,,,,,,,669.339411,52.339411,617.0,,,,1715.793894,167.793894,1548.0,,,,,,
precincts,001,Alamance,872a8ba98ffffff,,,,49.067868,49.067868,0.0,,,,,,,168.570506,168.570506,0.0,,,,217.638374,217.638374,0.0,,,,,,
precincts,001,Alamance,872a8ba99ffffff,,,,49.049451,49.049451,0.0,,,,,,,168.507235,168.507235,0.0,,,,217.556685,217.556685,0.0,,,,,,
precincts,001,Alamance,872a8ba9affffff,,,,48.175902,48.175902,0.0,,,,,,,167.052428,167.052428,0.0,,,,215.22833,215.22833,0.0,,,,,,
precincts,001,Alamance,872a8ba9bffffff,,,,49.045909,49.045909,0.0,,,,,,,168.495068,168.495068,0.0,,,,217.540978,217.540978,0.0,,,,,,
precincts,001,Alamance,872a8ba9cffffff,,,,286.973001,286.973001,0.0,,,,,,,411.858122,411.858122,0.0,,,,698.831123,698.831123,0.0,,,,,,
precincts,001,Alamance,872a8ba9dffffff,,,,144.313305,144.313305,0.0,,,,,,,242.984035,242.984035,0.0,,,,387.297339,387.297339,0.0,,,,,,
precincts,001,Alamance,872a8ba9effffff,,,,303.576228,303.576228,0.0,,,,,,,454.61516,454.61516,0.0,,,,758.191388,758.191388,0.0,,,,,,
precincts,001,Alamance,872a8baa0ffffff,,,,657.351494,-1940.648506,2598.0,,,,,,,528.816252,-1561.183748,2090.0,,,,1186.167746,-3501.832254,4688.0,,,,,,
precincts,001,Alamance,872a8baa1ffffff,,,,741.763923,741.763923,0.0,,,,,,,559.124004,559.124004,0.0,,,,1300.887927,1300.887927,0.0,,,,,,
precincts,001,Alamance,872a8baa2ffffff,,,,512.471014,512.471014,0.0,,,,,,,446.47951,446.47951,0.0,,,,958.950524,958.950524,0.0,,,,,,
precincts,001,Alamance,872a8baa3ffffff,,,,499.931877,499.931877,0.0,,,,,,,439.39837,439.39837,0.0,,,,939.330247,939.330247,0.0,,,,,,
precincts,001,Alamance,872a8baa4ffffff,,,,381.544485,381.544485,0.0,,,,,,,419.663361,419.663361,0.0,,,,801.207846,801.207846,0.0,,,,,,
precincts,001,Alamance,872a8baa5ffffff,,,,794.428327,-219.571673,1014.0,,,,,,,524.547306,-107.452694,632.0,,,,1318.975633,-327.024367,1646.0,,,,,,
precincts,001,Alamance,872a8baa6ffffff,,,,366.064577,366.064577,0.0,,,,,,,404.260989,404.260989,0.0,,,,770.325567,770.325567,0.0,,,,,,
precincts,001,Alamance,872a8baa8ffffff,,,,98.524656,98.524656,0.0,,,,,,,157.024787,157.024787,0.0,,,,255.549443,255.549443,0.0,,,,,,
precincts,001,Alamance,872a8baa9ffffff,,,,19.435769,19.435769,0.0,,,,,,,29.126882,29.126882,0.0,,,,48.562651,48.562651,0.0,,,,,,
precincts,001,Alamance,872a8baaaffffff,,,,174.783465,174.783465,0.0,,,,,,,243.473333,243.473333,0.0,,,,418.256798,418.256798,0.0,,,,,,
precincts,001,Alamance,872a8baabffffff,,,,89.270207,89.270207,0.0,,,,,,,133.782349,133.782349,0.0,,,,223.052556,223.052556,0.0,,,,,,
precincts,001,Alamance,872a8baacffffff,,,,70.778894,70.778894,0.0,,,,,,,115.157437,115.157437,0.0,,,,185.936331,185.936331,0.0,,,,,,
precincts,001,Alamance,872a8baaeffffff,,,,163.535426,163.535426,0.0,,,,,,,248.407548,248.407548,0.0,,,,411.942974,411.942974,0.0,,,,,,
precincts,001,Alamance,872a8bab0ffffff,,,,191.667838,191.667838,0.0,,,,,,,161.408786,161.408786,0.0,,,,353.076624,353.076624,0.0,,,,,,
